FilePath,File,Set,NumberOfNodes,NumberOfArcs,Density,NumberOfPaths,AveragePathLength,StdvPathLength,InDegreeEntropy,OutDegreeEntropy,InDegreeHeterogeneity,OutDegreeHeterogeneity,BetweennessHeterogeneity,Modularity
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV108.rcp,EV108.rcp,SP,32,68,0.06854838709677419,39,4.538461538461538,0.9830917698810673,1.3196839842541925,1.3214514521960985,76.17993079584775,70.42214532871972,83.2348023699375,0.28957612456747406
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV109.rcp,EV109.rcp,SP,32,66,0.06653225806451613,41,5.146341463414634,1.1594989584394844,1.283448794846184,1.1240357221909014,85.09825528007346,63.94123048668503,103.11396823077735,0.3117539026629936
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV11.rcp,EV11.rcp,SP,32,77,0.07762096774193548,47,4.170212765957447,0.5185556428491039,1.4037649321958539,1.4575450662096732,73.74734356552538,75.1290268173385,53.86107084910763,0.2707033226513746
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV110.rcp,EV110.rcp,SP,32,105,0.10584677419354839,154,5.766233766233766,0.8358230082963162,1.7916942150913546,1.924322579083678,47.83310657596372,46.53278911564626,52.245995178809856,0.2290249433106576
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV111.rcp,EV111.rcp,SP,32,77,0.07762096774193548,48,5.020833333333333,1.050586806926914,1.458462018810316,1.4248420572243887,63.38471917692697,58.894248608534326,62.81861454395452,0.2877382357901838
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV112.rcp,EV112.rcp,SP,32,76,0.07661290322580645,63,5.666666666666667,1.023532631438318,1.5549674081502682,1.6082849087969593,62.7590027700831,55.66759002770083,65.76225732510385,0.2773545706371191
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV113.rcp,EV113.rcp,SP,32,72,0.07258064516129033,44,4.590909090909091,1.051366682383671,1.3540875307799098,1.3604432334108574,69.1358024691358,66.37037037037037,63.287619803027304,0.28530092592592593
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV114.rcp,EV114.rcp,SP,32,94,0.09475806451612903,184,6.239130434782608,0.7783701647812242,1.8126143111674218,1.8533334245384614,46.12403802625622,47.28293345405161,65.51719726480457,0.2607514712539611
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV115.rcp,EV115.rcp,SP,32,56,0.056451612903225805,26,4.6923076923076925,1.4349813927828945,0.8046725637738128,0.8479942625588094,135.83673469387756,76.40816326530613,171.42613029547886,0.34630102040816335
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV116.rcp,EV116.rcp,SP,32,56,0.056451612903225805,26,4.884615384615385,1.339544212866769,0.8655870361137844,0.8479942625588094,124.73469387755102,72.48979591836735,155.56619209829097,0.37340561224489793
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV117.rcp,EV117.rcp,SP,32,65,0.0655241935483871,35,4.514285714285714,1.2040747146117414,1.2082335632994061,1.3214514521960985,101.55171597633137,63.74248520710059,109.78732782369146,0.2984615384615385
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV118.rcp,EV118.rcp,SP,32,66,0.06653225806451613,44,5.454545454545454,1.0965761892558927,1.3455686318128453,1.1686417628706676,57.35904499540863,55.9485766758494,83.2053466266681,0.36455463728191
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV119.rcp,EV119.rcp,SP,32,93,0.09375,107,5.579439252336448,0.8542076525057831,1.7546648642909486,1.8982587609393589,47.71326164874552,47.00289050757313,59.621762191241864,0.2851196670135276
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV12.rcp,EV12.rcp,SP,32,73,0.07358870967741936,43,4.0,0.4822428221704121,1.2035079427635131,1.2781297534111018,87.81534997185213,85.89378870332145,62.14963475586313,0.28898480015012196
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV120.rcp,EV120.rcp,SP,32,69,0.06955645161290322,63,5.920634920634921,1.1724562103250407,1.4350614683033305,1.4677011226422574,55.705944129384584,52.26465028355388,74.98314049586776,0.3261919764755304
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV121.rcp,EV121.rcp,SP,32,52,0.05241935483870968,22,3.727272727272727,1.212878551284212,0.4141240568744845,0.5067352576114265,179.50295857988166,140.11834319526628,121.01785714285714,0.3217455621301776
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV122.rcp,EV122.rcp,SP,32,97,0.09778225806451613,131,5.870229007633588,0.8232958023030696,1.7568280351985095,1.575327970934675,47.55957062387076,44.2946115421405,54.465959709326704,0.241896056966734
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV123.rcp,EV123.rcp,SP,32,92,0.09274193548387097,97,5.896907216494846,0.9359325916611139,1.8554965954460225,1.8441916376333796,46.699432892249526,52.0226843100189,58.56292694822173,0.2459829867674858
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV124.rcp,EV124.rcp,SP,32,53,0.05342741935483871,23,4.521739130434782,1.5285561592388646,0.715537563594637,0.9358789291911354,135.24528301886792,87.12566749733001,140.9195606605353,0.3584905660377359
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV125.rcp,EV125.rcp,SP,32,80,0.08064516129032258,59,5.084745762711864,0.9792445305528332,1.6516699622283133,1.5813147145046051,53.12,67.52,76.37662619956065,0.25703125000000004
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV126.rcp,EV126.rcp,SP,32,66,0.06653225806451613,93,6.473118279569892,0.8748750798627094,1.393458922181267,1.4510661299395977,54.538108356290174,45.13498622589532,82.06641065256727,0.34228650137741046
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV127.rcp,EV127.rcp,SP,32,110,0.11088709677419355,283,6.487632508833922,0.6691239823975081,1.9570850246308502,1.9791693438164222,46.03768595041322,42.144793388429754,45.261169251485214,0.2612396694214876
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV128.rcp,EV128.rcp,SP,32,91,0.09173387096774194,206,6.684466019417476,0.9150582008709841,1.7749364311804499,1.7688531978760296,42.908827436299966,45.13464557420601,54.24967665479154,0.23125226421929718
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV129.rcp,EV129.rcp,SP,32,104,0.10483870967741936,323,6.2786377708978325,0.7887023488654431,1.9009814651385804,1.7304173741978155,43.36094674556213,44.30769230769231,55.79853938611087,0.2795857988165681
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV13.rcp,EV13.rcp,SP,32,61,0.06149193548387097,33,3.9696969696969697,0.6735185082088748,0.9358789291911354,1.0458478435130596,108.15157215802203,120.26014512227896,97.83727891156461,0.3098629400698737
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV130.rcp,EV130.rcp,SP,32,73,0.07358870967741936,79,6.2025316455696204,1.140505626659332,1.643587805344664,1.5150062384704706,49.76843685494464,48.2311878401201,65.26419331162181,0.3103771814599362
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV131.rcp,EV131.rcp,SP,32,84,0.0846774193548387,86,5.6976744186046515,1.1109368290694128,1.7592334558743736,1.6977143652125313,50.21315192743764,51.9546485260771,79.30144303268763,0.2791950113378685
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV132.rcp,EV132.rcp,SP,32,72,0.07258064516129033,78,6.230769230769231,1.1200169060431566,1.6275831437083965,1.459868491688124,50.17283950617284,48.98765432098765,65.44486166520949,0.3130787037037037
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV133.rcp,EV133.rcp,SP,32,54,0.05443548387096774,24,3.625,1.1836560592784826,0.4141240568744845,0.6415518483235773,197.35528120713306,144.6803840877915,157.23894531650765,0.3065843621399177
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV134.rcp,EV134.rcp,SP,32,64,0.06451612903225806,42,5.595238095238095,1.363809856344732,1.2281058514681364,1.3196839842541928,69.0,56.5,75.805683395427,0.351318359375
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV135.rcp,EV135.rcp,SP,32,77,0.07762096774193548,100,5.78,1.345956908671299,1.6349121783174083,1.5450459798184213,54.74919885309496,56.82172373081464,111.26635008933671,0.3233260246247259
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV136.rcp,EV136.rcp,SP,32,83,0.08366935483870967,57,4.964912280701754,0.9905680149819722,1.6241402346442984,1.7400702512876045,53.957323268979536,54.551894324285094,69.10846875412868,0.2691246915372333
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV137.rcp,EV137.rcp,SP,32,54,0.05443548387096774,25,4.76,1.3937001112147478,0.830720856220939,1.0061096309753796,120.09876543209876,77.95884773662551,127.56115927391072,0.36556927297668035
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV138.rcp,EV138.rcp,SP,32,83,0.08366935483870967,70,5.171428571428572,1.0415843504890392,1.5379930157196084,1.6004522778428258,59.30846276672957,53.36275221367397,75.3110760317539,0.26317317462621576
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV139.rcp,EV139.rcp,SP,32,53,0.05342741935483871,23,3.6956521739130435,1.195454529118915,0.5818786450459386,0.5818786450459386,160.03417586329655,160.03417586329655,116.85545224006762,0.31826272694909225
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV14.rcp,EV14.rcp,SP,32,58,0.05846774193548387,28,3.5714285714285716,0.5624291338579865,0.7752107668722756,0.6848735471085738,152.19976218787158,154.02615933412605,96.83692307692307,0.30975029726516057
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV140.rcp,EV140.rcp,SP,32,98,0.09879032258064516,238,6.5588235294117645,0.856699918507488,1.7692036164875202,1.7007244757062396,43.07538525614327,43.50187421907538,55.917484302831575,0.24573094543940022
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV141.rcp,EV141.rcp,SP,32,69,0.06955645161290322,53,5.39622641509434,1.0874866755463821,1.361759464732271,1.4606251897178768,80.65532451165721,53.98529720646923,86.34888047325559,0.27704263810123925
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV142.rcp,EV142.rcp,SP,32,100,0.10080645161290322,295,6.47457627118644,0.9416165724998871,1.8137785342769268,1.79134737223498,42.3936,41.5744,55.13872094808177,0.2652
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV143.rcp,EV143.rcp,SP,32,75,0.07560483870967742,58,5.017241379310345,1.0420698783628672,1.4421105143176738,1.5110228214272539,61.71306666666667,61.71306666666667,91.26070042831948,0.28746666666666665
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV144.rcp,EV144.rcp,SP,32,57,0.057459677419354836,27,4.037037037037037,1.104921028901948,0.9613676168506274,0.7752107668722756,111.2563865804863,111.88673437980917,93.29794120463467,0.33487226839027395
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV145.rcp,EV145.rcp,SP,32,96,0.0967741935483871,161,5.987577639751553,0.8560169038192195,1.897094537829854,1.8395845054597764,48.22222222222222,46.22222222222222,60.68119506986123,0.20920138888888892
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV146.rcp,EV146.rcp,SP,32,64,0.06451612903225806,43,5.604651162790698,1.0596079767343738,1.2690659689459907,1.3545501641470379,65.0,56.5,65.72488340192044,0.3154296875
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV147.rcp,EV147.rcp,SP,32,100,0.10080645161290322,233,6.497854077253219,0.9224173481208368,1.811268520512991,1.7886841045976465,43.2128,44.032,46.902769481515065,0.25339999999999996
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV148.rcp,EV148.rcp,SP,32,55,0.055443548387096774,25,3.52,1.2687001221722964,0.4141240568744845,0.5818786450459386,206.15404958677686,177.0419834710744,168.43688145247418,0.2667768595041322
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV149.rcp,EV149.rcp,SP,32,75,0.07560483870967742,57,5.2631578947368425,0.9085619211385298,1.4417042348994111,1.4729377586898837,59.16444444444444,63.169422222222224,78.57036972699007,0.26986666666666664
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV15.rcp,EV15.rcp,SP,32,61,0.06149193548387097,31,3.903225806451613,0.5300540879082253,1.0388126399606636,1.0657828342530182,113.655468959957,92.74066111260414,67.028588919498,0.31496909432948134
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV150.rcp,EV150.rcp,SP,32,67,0.06754032258064516,45,5.066666666666666,0.8,1.3604432334108572,1.3739817921478839,58.16885720650479,65.01225217197594,77.19636866095325,0.3399420806415682
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV151.rcp,EV151.rcp,SP,32,77,0.07762096774193548,63,5.428571428571429,0.8302664654363187,1.5039468885028735,1.609287774679485,56.82172373081464,53.36751560128184,71.57621090772828,0.2909428234103559
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV152.rcp,EV152.rcp,SP,32,56,0.056451612903225805,26,4.269230769230769,1.1947865051545437,0.8643457670514515,0.9613676168506274,108.40816326530613,89.46938775510205,103.28391818352411,0.35076530612244905
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV153.rcp,EV153.rcp,SP,32,59,0.059475806451612906,32,5.40625,1.3660933121496497,1.130045684621564,1.2493920911768415,75.60126400459637,56.77449008905487,70.97850447177053,0.34989945417983337
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV154.rcp,EV154.rcp,SP,32,83,0.08366935483870967,132,6.454545454545454,1.0471001541315754,1.549395265030555,1.6396447995507932,44.74147191174336,45.930614022354476,61.43205696852048,0.3255915227173755
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV155.rcp,EV155.rcp,SP,32,95,0.09576612903225806,126,6.142857142857143,1.0816968277714805,1.8625456414603663,1.880303618830816,47.313905817174515,47.08698060941828,52.56280171743286,0.2619390581717452
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV156.rcp,EV156.rcp,SP,32,70,0.07056451612903226,46,5.3478260869565215,1.2017630400943697,1.4080279193646188,1.519478340319405,67.29142857142857,57.2604081632653,63.34919627110102,0.3112244897959184
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV157.rcp,EV157.rcp,SP,32,79,0.07963709677419355,51,4.627450980392157,1.0282439687942662,1.5540610320022328,1.4037649321958539,58.24707578913635,68.74795705816375,61.83507805325986,0.2643807082198366
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV158.rcp,EV158.rcp,SP,32,62,0.0625,40,5.35,1.3332291625973383,1.311239041814649,1.1956119571630224,68.72840790842872,64.46618106139438,106.74806300590457,0.33324661810613937
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV159.rcp,EV159.rcp,SP,32,59,0.059475806451612906,32,4.875,1.192424001771182,1.0946199714370584,1.2184565501334632,89.13300775639185,63.834530307382934,97.41043122071655,0.36828497558172946
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV16.rcp,EV16.rcp,SP,32,66,0.06653225806451613,36,4.138888888888889,0.480322679605294,1.255285160440661,1.2986068592256574,89.79981634527088,79.45638200183654,73.00366717802615,0.2972910927456382
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV160.rcp,EV160.rcp,SP,32,69,0.06955645161290322,51,5.666666666666667,1.0416176459053668,1.4871891045919687,1.432834942749412,58.286914513757615,53.98529720646923,57.84438404082202,0.3303927746271792
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV161.rcp,EV161.rcp,SP,32,87,0.08770161290322581,97,5.670103092783505,1.0814428075829572,1.7742391697125846,1.6601254811204647,48.568635222618575,50.4626767076232,70.42275709936796,0.2642356982428326
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV162.rcp,EV162.rcp,SP,32,79,0.07963709677419355,80,5.7625,1.0397565820902506,1.633594701334506,1.70849372658546,47.74619452010896,52.01217753565134,55.07210263665873,0.3050793142124659
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV163.rcp,EV163.rcp,SP,32,66,0.06653225806451613,45,5.622222222222222,0.9952975856248306,1.4320513578096221,1.3978718629320344,60.17998163452709,57.829201101928376,63.881638252008614,0.3204775022956841
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV164.rcp,EV164.rcp,SP,32,107,0.10786290322580645,313,6.587859424920127,0.653899255107162,1.8974118213532116,1.9791693438164222,44.4517425102629,43.020700497860076,47.8479901233382,0.24447550004367188
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV165.rcp,EV165.rcp,SP,32,88,0.08870967741935484,199,6.447236180904523,0.9275135071941678,1.5544078748586077,1.7395701545578324,44.16528925619835,43.63636363636363,56.69532411999752,0.26200929752066116
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV166.rcp,EV166.rcp,SP,32,53,0.05342741935483871,23,3.347826086956522,1.0470951807645477,0.4141240568744845,0.2771133574914559,188.4684941260235,203.77928088287646,145.81874805356586,0.27020291918832323
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV167.rcp,EV167.rcp,SP,32,100,0.10080645161290322,192,6.34375,0.8269941177743245,1.8858867554054641,1.8080457195839972,42.1888,48.7424,48.5408634392381,0.2032
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV168.rcp,EV168.rcp,SP,32,66,0.06653225806451613,36,4.222222222222222,1.0030816714037663,1.2493920911768415,1.2078378603337507,93.0909090909091,80.39669421487604,75.07969462294722,0.3514692378328742
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV169.rcp,EV169.rcp,SP,32,75,0.07560483870967742,52,5.038461538461538,0.8978936561483655,1.5950068694443829,1.518982161674102,53.70311111111111,57.70808888888889,75.40419470459011,0.30417777777777777
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV17.rcp,EV17.rcp,SP,32,91,0.09173387096774194,61,4.081967213114754,0.3286875025534987,1.606941790565509,1.476976694210519,73.08102886124864,70.8552107233426,69.95206981530686,0.2417582417582418
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV170.rcp,EV170.rcp,SP,32,58,0.05846774193548387,28,4.0,1.1952286093343936,0.9149763710100345,0.9089087348987809,127.84780023781212,105.93103448275862,99.09330645838584,0.3240190249702735
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV171.rcp,EV171.rcp,SP,32,111,0.11189516129032258,242,6.144628099173554,0.9134848733043646,2.057010379637889,1.9561786484828152,45.79368557746936,44.796363931499066,45.90060754819053,0.23423423423423426
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV172.rcp,EV172.rcp,SP,32,96,0.0967741935483871,80,5.075,0.9971835337589566,1.8093254577405342,1.8779313332430851,52.888888888888886,55.77777777777778,61.7063389105154,0.24164496527777782
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV173.rcp,EV173.rcp,SP,32,84,0.0846774193548387,67,5.1940298507462686,1.212359312904613,1.6370753492249692,1.6082849087969593,52.53514739229025,61.532879818594104,76.53553726071483,0.32057823129251695
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV174.rcp,EV174.rcp,SP,32,84,0.0846774193548387,194,6.474226804123711,0.7192892182479343,1.650763586080278,1.5795653168548918,45.859410430839006,43.82766439909297,68.82458861072242,0.31235827664399085
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV175.rcp,EV175.rcp,SP,32,80,0.08064516129032258,62,5.161290322580645,0.9365955574811596,1.619687158107906,1.5786553649517407,53.44,51.84,55.46916369027721,0.2675
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV176.rcp,EV176.rcp,SP,32,57,0.057459677419354836,29,4.206896551724138,1.4234322372793307,0.645245670517286,0.907667465836448,179.96429670667897,106.84395198522623,164.21404356539492,0.33825792551554323
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV177.rcp,EV177.rcp,SP,32,76,0.07661290322580645,50,4.9,0.9433981132056604,1.5194783403194052,1.5786553649517407,56.37673130193906,59.21329639889197,77.77237236059591,0.2756232686980609
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV178.rcp,EV178.rcp,SP,32,96,0.0967741935483871,97,5.061855670103093,0.7840475604878986,1.7749364311804496,1.7895310441837937,50.666666666666664,52.0,71.33358387564496,0.2502170138888889
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV179.rcp,EV179.rcp,SP,32,55,0.055443548387096774,25,3.92,1.1285388783732706,0.645245670517286,0.7752107668722756,163.50148760330578,107.30842975206612,141.29420406700712,0.3335537190082644
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV18.rcp,EV18.rcp,SP,32,64,0.06451612903225806,34,3.7941176470588234,0.5302281287447043,1.134654411990614,0.9358789291911354,106.5,123.5,71.2878369493754,0.298828125
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV180.rcp,EV180.rcp,SP,32,63,0.06350806451612903,38,4.894736842105263,1.118962717129963,1.1888125117511676,1.2511595591187472,86.42983119173596,61.661879566641474,96.04775130978447,0.345679012345679
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV181.rcp,EV181.rcp,SP,32,71,0.0715725806451613,42,4.714285714285714,1.0753895038701158,1.4371652026490034,1.4421105143176738,70.48760166633605,59.92461813132315,87.14961416345623,0.32156318190835154
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV182.rcp,EV182.rcp,SP,32,58,0.05846774193548387,28,4.428571428571429,1.293626448305345,0.9358177378980285,0.9954909411756673,118.71581450653983,75.4910820451843,117.21140070111264,0.35671819262782406
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV183.rcp,EV183.rcp,SP,32,64,0.06451612903225806,39,5.076923076923077,1.2064913185660093,1.2170465015005398,1.2106791197608946,95.5,65.5,124.8705687765302,0.335205078125
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV184.rcp,EV184.rcp,SP,32,68,0.06854838709677419,40,4.7,1.004987562112089,1.3540875307799098,1.4037649321958539,84.1522491349481,62.449826989619375,87.69790058437738,0.2746539792387543
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV185.rcp,EV185.rcp,SP,32,85,0.08568548387096774,264,7.125,0.8185237080293157,1.7298578409061554,1.676476985613107,45.49536332179931,45.77882352941177,65.19565229123191,0.3528027681660899
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV186.rcp,EV186.rcp,SP,32,93,0.09375,106,5.933962264150943,1.290523280765848,1.6601254811204644,1.899257708737415,51.73869811538906,50.55474621343508,65.96461813183284,0.22141288010174587
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV187.rcp,EV187.rcp,SP,32,64,0.06451612903225806,34,4.529411764705882,1.0910139406465533,1.255285160440661,1.3334730391185028,85.0,59.5,110.18119500006424,0.34423828125
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV188.rcp,EV188.rcp,SP,32,59,0.059475806451612906,29,4.448275862068965,1.275396000614271,0.9987785091528838,0.9954909411756672,115.01982189026143,70.894570525711,117.93834371395619,0.34989945417983337
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV189.rcp,EV189.rcp,SP,32,88,0.08870967741935484,103,5.961165048543689,1.0876386651654406,1.766223065326829,1.8456346036760638,46.28099173553719,50.77685950413223,51.75245249535052,0.25878099173553715
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV19.rcp,EV19.rcp,SP,32,65,0.0655241935483871,35,3.8285714285714287,0.4462999814803802,1.151005916483256,1.124413687937636,92.341775147929,119.00213017751479,62.01994928148774,0.30272189349112427
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV190.rcp,EV190.rcp,SP,32,92,0.09274193548387097,130,5.7846153846153845,0.7644466614649136,1.8722875144450606,1.8098620476351832,47.667296786389414,44.52173913043478,53.18914450961764,0.2523629489603024
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV191.rcp,EV191.rcp,SP,32,97,0.09778225806451613,173,6.433526011560693,0.8134901228406137,1.8576597663535837,1.9079710745910359,44.729939419704536,44.94760335848655,45.17466501226341,0.22319056222765435
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV192.rcp,EV192.rcp,SP,32,95,0.09576612903225806,139,5.9496402877697845,0.8251770336080384,1.8368322419275378,1.7916942150913546,44.36387811634349,47.76775623268698,54.401025229479075,0.2321329639889197
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV193.rcp,EV193.rcp,SP,32,97,0.09778225806451613,226,6.513274336283186,0.8735548799471197,1.815594862328113,1.7922537483830152,41.90030821553832,44.729939419704536,46.69613355599424,0.2938675735997449
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV194.rcp,EV194.rcp,SP,32,87,0.08770161290322581,468,7.256410256410256,0.7297563831157798,1.6856297659731232,1.7096194091047867,40.99246928260008,45.86286167261197,82.90650508024568,0.30743823490553573
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV195.rcp,EV195.rcp,SP,32,66,0.06653225806451613,38,4.973684210526316,1.2457684608994344,1.2396269993314148,1.3604432334108572,98.73278236914601,57.829201101928376,84.19058070416095,0.31290174471992654
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV196.rcp,EV196.rcp,SP,32,81,0.08165322580645161,128,6.46875,1.0528050329951886,1.5245882416457615,1.6241402346442984,44.481024234110656,45.41746684956561,61.02748926898118,0.350403901844231
